feature,importance
StandardScale_Feature_9,295
StandardScale_Feature_18,287
StandardScale_Feature_11,278
StandardScale_Feature_43,269
StandardScale_Feature_45,265
StandardScale_Feature_30,244
StandardScale_Feature_8,232
StandardScale_Feature_44,226
StandardScale_Feature_29,218
StandardScale_Feature_36,203
StandardScale_Feature_10,195
MinMaxScale_Feature_18,194
StandardScale_Feature_7,187
StandardScale_Feature_19,174
MinMaxScale_Feature_9,160
StandardScale_Feature_39,151
MinMaxScale_Feature_45,135
MinMaxScale_Feature_30,129
StandardScale_Feature_6,116
StandardScale_Feature_22,115
MinMaxScale_Feature_8,114
MinMaxScale_Feature_44,107
MinMaxScale_Feature_19,107
StandardScale_Feature_4,101
MinMaxScale_Feature_29,98
MinMaxScale_Feature_43,97
MinMaxScale_Feature_36,97
StandardScale_Feature_3,96
StandardScale_Feature_37,88
MinMaxScale_Feature_39,86
StandardScale_Feature_23,86
MinMaxScale_Feature_10,82
StandardScale_Feature_35,82
MinMaxScale_Feature_11,74
StandardScale_Feature_42,73
StandardScale_Feature_31,71
MinMaxScale_Feature_6,68
StandardScale_Feature_20,67
MinMaxScale_Feature_7,66
StandardScale_Feature_32,65
StandardScale_Feature_12,65
StandardScale_Feature_5,65
StandardScale_Feature_38,58
StandardScale_Feature_27,52
MinMaxScale_Feature_3,50
MinMaxScale_Feature_20,49
StandardScale_Feature_1,49
MinMaxScale_Feature_4,47
MinMaxScale_Feature_22,44
MinMaxScale_Feature_42,43
MinMaxScale_Feature_37,43
StandardScale_Feature_24,41
MinMaxScale_Feature_23,39
MinMaxScale_Feature_5,38
StandardScale_Feature_34,36
StandardScale_Feature_2,29
MinMaxScale_Feature_35,29
StandardScale_Feature_21,28
StandardScale_Feature_25,27
StandardScale_Feature_40,24
StandardScale_Feature_28,24
MinMaxScale_Feature_34,23
MinMaxScale_Feature_40,22
StandardScale_Feature_41,21
MinMaxScale_Feature_27,20
MinMaxScale_Feature_38,19
StandardScale_Feature_13,18
MinMaxScale_Feature_1,17
MinMaxScale_Feature_24,15
StandardScale_Feature_26,15
MinMaxScale_Feature_32,14
MinMaxScale_Feature_2,13
MinMaxScale_Feature_31,13
MinMaxScale_Feature_12,12
MinMaxScale_Feature_41,11
StandardScale_Feature_33,11
MinMaxScale_Feature_21,9
MinMaxScale_Feature_25,8
StandardScale_Feature_14,6
StandardScale_Feature_15,3
MinMaxScale_Feature_28,3
MinMaxScale_Feature_14,2
MinMaxScale_Feature_26,1
MinMaxScale_Feature_33,1
MinMaxScale_Feature_17,0
StandardScale_Feature_16,0
MinMaxScale_Feature_15,0
MinMaxScale_Feature_13,0
StandardScale_Feature_17,0
MinMaxScale_Feature_16,0
